input,target
How many students are enrolled in Trading Intradiario basado en Precio y Volumen?,92
How many students are enrolled in Aprenda Cálculo Financeiro de Forma Simples?,76
How many students are enrolled in Wie funktionieren Bitcoin? Ein Einführungskurs.?,14
How many students are enrolled in Estruturação Financeira?,18
How many students are enrolled in Five steps to becoming a winner in stock investing?,21
How many students are enrolled in Introduction to Financial Consolidation under IFRS?,21
How many students are enrolled in How to read a Profit & Loss Account and Balance Sheet?,49
How many students are enrolled in Learn Bookkeeping From Scratch?,168
How many students are enrolled in ACCA MA1 Management Information?,16
How many students are enrolled in Stock Trading: Ultimate Guide to swing trading stocks?,336
How many students are enrolled in Bookkeeping Systems?,20
How many students are enrolled in Precious Metal Equities?,28
How many students are enrolled in Start Now: A Rescue Plan for Retirement Late Savers?,11
How many students are enrolled in Eu Funding: Module 2 - Introduction to Horizon 2020?,11
How many students are enrolled in How I Make Money Writing About Stocks Online?,360
How many students are enrolled in Tradeonomics - Four Steps to Mastering Economic Indicators?,1189
How many students are enrolled in Improve Your Financial Literacy?,9995
How many students are enrolled in Forex Trading : Power Of Moving Averages?,100
How many students are enrolled in Demystifying Your Personal Tax Return?,3426
How many students are enrolled in Samuel and Co Trading - Stock & Forex Trading?,592
How many students are enrolled in Accounting Department's Tips & Tricks - Beginner to Advanced?,1222
How many students are enrolled in Certificate Program In Management Accounting?,1532
How many students are enrolled in How I Trade Forex Successfully?,5768
How many students are enrolled in Professional Trading With Institutional Supply & Demand?,343
How many students are enrolled in Master Calendar Spreads with this live trade on Gold (GLD)?,540
How many students are enrolled in Accounting 101: Guide to Business Accounting?,2031
How many students are enrolled in An Introduction to Financial Markets on Wall Street?,7
How many students are enrolled in Win 90% of Trades; Quantitative Investments Models in Excel?,4
How many students are enrolled in The Forex Pivot Points Trading Strategy?,21
How many students are enrolled in Your Business by the Numbers?,29
How many students are enrolled in Forex - Trade Gartley with Precision - Complete Strategy?,50
How many students are enrolled in Create Trading Robot Without Coding Skills!?,5
How many students are enrolled in Accounting and the Triple Bottom Line?,6
How many students are enrolled in MQL5 - Beginner To Expert?,16
How many students are enrolled in How to be A High Performance Insurance Broker Part 2?,70
"How many students are enrolled in CFA Level I Workshop 5: Corp Finance, Quants II & Derivative?",110
How many students are enrolled in Trading News Using Binary Options?,1186
How many students are enrolled in Trading Trends in ANY Market?,632
How many students are enrolled in Financial Statements Analysis: Learn to Invest Like a Pro!?,1237
How many students are enrolled in Contango VXX - ETF Options Trading - Double Your Investment?,513
How many students are enrolled in Mergers and Acquisitions M&A Essentials You Need to Know?,4103
How many students are enrolled in TRADING MARKET MAP?,1489
How many students are enrolled in How To Confidently Join The Bitcoin Revolution?,547
How many students are enrolled in High Probability Trading Across Any Market: Stocks & Forex?,353
How many students are enrolled in Option Trading for Rookies: Make & Manage Profitable Trades?,507
How many students are enrolled in Your First Successful Forex Trades - With Case Studies?,1079
How many students are enrolled in MCA Accountancy and Financial Management -Paper MCS 35 IGNOU?,3667
"How many students are enrolled in High-Frequency Trading #1: Basics, History & Strategies?",2222
How many students are enrolled in Level 1 2014 CFA® Program – Derivatives?,225
How many students are enrolled in The Complete Investing Guide: How to Beat Wall Street?,13
"How many students are enrolled in Bitcoins - Past, Present, Future?",373
How many students are enrolled in Learn Accounting by Specific Examples - Part 1?,306
How many students are enrolled in Forex: Presentation and Analysis (Fundamental & Technical)?,14
How many students are enrolled in Year-end QuickBooks Procedures?,51
How many students are enrolled in Price Action Gap Trading Strategies?,13
How many students are enrolled in How to start a successful career in finance??,1318
How many students are enrolled in Level 1 2014 CFA® Program – Equity Investments?,347
How many students are enrolled in Wealth Management?,274
How many students are enrolled in Basics of Private Equity?,9
How many students are enrolled in Curso Completo del Mercado FOREX?,359
How many students are enrolled in Como Investir em Ações para Iniciantes?,6024
How many students are enrolled in Robots de Forex: espere ganar 175%p.a! Incluye Robot de Fx! ?,315
How many students are enrolled in ６時間でインターバンク市場を攻略！最短距離でトレード基礎力?,280
How many students are enrolled in Matemática Financeira de um jeito fácil?,401
How many students are enrolled in ビットコイン生態系｜既存通貨が主役をやめる日?,701
How many students are enrolled in Trading Forex - Trader avec les figures harmoniques?,57
How many students are enrolled in Введение в Финансовую Инженерию?,205
How many students are enrolled in Aprenda a Investir no Tesouro Direto Passo a Passo?,62
How many students are enrolled in 資産運用の基礎を学ぶファイナンス入門?,114
How many students are enrolled in Aprende a invertir y deja que tu dinero trabaje para ti?,789
How many students are enrolled in Buchführung lernen leicht gemacht?,446
How many students are enrolled in Day Trading: High ROI Day Trading ?,17
How many students are enrolled in Flow Management and Forecasting?,16
How many students are enrolled in An Introduction to Management of Portfolios (MoP)?,117
How many students are enrolled in CFA Level I Workshop 1: Ethics and Quantitative Methods?,147
How many students are enrolled in Accounting Basics 101 for Understanding Business?,7
How many students are enrolled in Mortgage Acceleration?,247
How many students are enrolled in CFA Corporate Finance Level 1 (Part 1)?,621
How many students are enrolled in Trading Tips from Hedge Fund Manager?,6
How many students are enrolled in Effective Debt Collection Strategies?,5
How many students are enrolled in IAS 1-Presentation of Financial Statements ?,2674
How many students are enrolled in Stock Trading Strategies Using a D.A.R.T.?,227
How many students are enrolled in Capital Structuring Techiques for CA / CFA / CPA Exams?,4480
How many students are enrolled in The Complete Guide to Forex Trading?,1329
How many students are enrolled in Learn How to Trade Binary Options Professionally?,5144
How many students are enrolled in Learn How to Start Small and Make It Big In Small-Cap Stocks?,2635
How many students are enrolled in Trading strategies with common sense technical analysis?,1750
How many students are enrolled in Startup Business: How To Raise Seed Capital?,3360
How many students are enrolled in Business Economics - Basics (College Level)?,3425
How many students are enrolled in Technical Analysis 101: Master the Basics of Trading?,2688
